Data_center,power_usage_2023_kwh,power_usage_per_hour_2023_kwh,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,market,Number_of_Market_Data_Centers,states,Number_of_States_Data_Centers
600 West 7th Street (LAX10),33566.97482,3.831846441,600 West 7th Street,-118.2805209,34.058142,GEOMETRIC_CENTER,Los Angeles,68,California,271
2260 E El Segundo Blvd (LAX12),33566.97482,3.831846441,2260 East El Segundo Boulevard,-118.3846315,33.9156567,ROOFTOP,Los Angeles,68,California,271
Centersquare Irvine,33566.97482,3.831846441,2681 Kelvin Ave,-117.8367921,33.6846874,ROOFTOP,Los Angeles,68,California,271
Hivelocity - Los Angeles 2,33566.97482,3.831846441,600 W. 7th St,-118.2572167,34.04752856,GoogleMap,Los Angeles,68,California,271
Hivelocity - Los Angeles 1,33566.97482,3.831846441,624 S Grand Ave,-118.2553576,34.0479477,ROOFTOP,Los Angeles,68,California,271
West 7 Center,33566.97482,3.831846441,1200 West 7th Street,-118.2658542,34.0513023,ROOFTOP,Los Angeles,68,California,271
One Wilshire,33566.97482,3.831846441,624 South Grand Avenue,-118.2553576,34.0479477,ROOFTOP,Los Angeles,68,California,271
Colocation America LADC3,33566.97482,3.831846441,600 W. 7th St,-118.2572167,34.04752856,GoogleMap,Los Angeles,68,California,271
Equinix LA2,33566.97482,3.831846441,818 W 7th Street,-118.259378,34.048714,GoogleMap,Los Angeles,68,California,271
Evocative LAX14,33566.97482,3.831846441,3690 Redondo Beach Avenue,-118.3687331,33.8892478,ROOFTOP,Los Angeles,68,California,271
CoreSite One Wilshire (LA1),33566.97482,3.831846441,624 South Grand Avenue,-118.2553576,34.0479477,ROOFTOP,Los Angeles,68,California,271
Prime Los Angeles,33566.97482,3.831846441,4701 S Santa Fe Ave,-118.2310616,34.0011147,ROOFTOP,Los Angeles,68,California,271
Cogent Data Center - Los Angeles,33566.97482,3.831846441,530 W 6th St,-118.2550835,34.04833297,GoogleMap,Los Angeles,68,California,271
Evocative LAX2,33566.97482,3.831846441,600 W 7th Street,-118.2805209,34.058142,GEOMETRIC_CENTER,Los Angeles,68,California,271
Colocation America LADC4,33566.97482,3.831846441,530 W. 6th St,-118.2550835,34.04833297,GoogleMap,Los Angeles,68,California,271
Cogent Data Center - Pasadena,33566.97482,3.831846441,2947  Bradley Street,-118.0889006,34.16854603,GoogleMap,Los Angeles,68,California,271
CoreSite Los Angeles (LA2),33566.97482,3.831846441,900 North Alameda,-118.2354035,34.05812835,GoogleMap,Los Angeles,68,California,271
TELEHOUSE Los Angeles Center,33566.97482,3.831846441,626 Wilshire Boulevard,-118.2570021,34.0482582,ROOFTOP,Los Angeles,68,California,271
Crown Castle Los Angeles LA1,33566.97482,3.831846441,624 S Grand Ave,-118.2553576,34.0479477,ROOFTOP,Los Angeles,68,California,271
Colocation America LADC5,33566.97482,3.831846441,650 S. Grand Ave,-118.2561798,34.0474225,ROOFTOP,Los Angeles,68,California,271
Colocation America LADC2,33566.97482,3.831846441,707 Wilshire Blvd,-118.2570021,34.0492187,ROOFTOP,Los Angeles,68,California,271
UnitedLayer Los Angeles,33566.97482,3.831846441,624 S Grand Ave,-118.2553576,34.0479477,ROOFTOP,Los Angeles,68,California,271
