Data_center,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,power_usage_2023_kwh,power_usage_per_hour_2023_kwh
Equinix LA7,1501 Francisco Street,-122.4265935,37.8030249,GEOMETRIC_CENTER,33566.97482,3.831846441
2334 Lundy Place (SJC26),2334 Lundy Place,-121.8894616,37.4039431,ROOFTOP,33566.97482,3.831846441
150 South First St,150 South First Street,-121.8813797,37.3238204,GEOMETRIC_CENTER,33566.97482,3.831846441
Equinix SV1,11 Great Oaks Boulevard,-121.7833286,37.2415906,ROOFTOP,33566.97482,3.831846441
Equinix SV3,1735 Lundy Ave,-121.8885624,37.3881855,ROOFTOP,33566.97482,3.831846441
Prime San Jose,6580 Via del Oro,-121.7823671,37.2353384,ROOFTOP,33566.97482,3.831846441
Element Critical Silicon Valley,1360 Kifer Rd,-121.9874965,37.3720711,ROOFTOP,33566.97482,3.831846441
Evocative OAK1,1400 65th Stret,-122.2927661,37.84685993,GoogleMap,33566.97482,3.831846441
CoreSite San Jose (SV1),55 South Market Street,-121.8917214,37.3341801,ROOFTOP,33566.97482,3.831846441
QTS Santa Clara I & II,2805/2807 Mission College Blvd,-121.978398,37.3927539,ROOFTOP,33566.97482,3.831846441
Rackspace San Jose,150 South 1st St,-121.8879416,37.33364378,GoogleMap,33566.97482,3.831846441
Equinix SV11,5 Great Oaks Boulevard,-121.7845084,37.242022,ROOFTOP,33566.97482,3.831846441
CoreSite Santa Clara (SV2),1656 McCarthy Blvd.,-121.9162408,37.4056888,ROOFTOP,33566.97482,3.831846441
Equinix SV10,7 Great Oaks Boulevard,-121.7849556,37.2413955,ROOFTOP,33566.97482,3.831846441
STACK Infrastructure SVY01B,2001 Fortune Drive,-121.8932703,37.4018402,ROOFTOP,33566.97482,3.831846441
Evocative SJC7,534 Stockton Ave,-121.9101958,37.3384465,ROOFTOP,33566.97482,3.831846441
STACK Infrastructure SVY01A,2001 Fortune Drive,-121.8928701,37.40208135,GoogleMap,33566.97482,3.831846441
ColoCrossing SJ1,55 S. Market Street,-121.8917214,37.33422273,GoogleMap,33566.97482,3.831846441
Equinix SV5,9 Great Oaks Boulevard,-121.7816047,37.2418698,ROOFTOP,33566.97482,3.831846441
H5 Data Centers San Jose,2030 Fortune Dr,-121.8929031,37.4010674,GEOMETRIC_CENTER,33566.97482,3.831846441
STACK Infrastructure SVY06,1849 Fortune Dr,-121.8929031,37.4010674,GEOMETRIC_CENTER,33566.97482,3.831846441
STACK Infrastructure SVY05,2400 Ringwood Ave,-121.8950378,37.4029146,ROOFTOP,33566.97482,3.831846441
Synoptek - San Jose Data Center,11 Great Oaks Blvd,-121.7833286,37.2415906,ROOFTOP,33566.97482,3.831846441
Equinix LA7,1501 Francisco Street,-122.4265935,37.8030249,GEOMETRIC_CENTER,33566.97482,3.831846441
2334 Lundy Place (SJC26),2334 Lundy Place,-121.8894616,37.4039431,ROOFTOP,33566.97482,3.831846441
150 South First St,150 South First Street,-121.8813797,37.3238204,GEOMETRIC_CENTER,33566.97482,3.831846441
Equinix SV1,11 Great Oaks Boulevard,-121.7833286,37.2415906,ROOFTOP,33566.97482,3.831846441
Equinix SV3,1735 Lundy Ave,-121.8885624,37.3881855,ROOFTOP,33566.97482,3.831846441
Prime San Jose,6580 Via del Oro,-121.7823671,37.2353384,ROOFTOP,33566.97482,3.831846441
Element Critical Silicon Valley,1360 Kifer Rd,-121.9874965,37.3720711,ROOFTOP,33566.97482,3.831846441
Evocative OAK1,1400 65th Stret,-122.2927661,37.84685993,GoogleMap,33566.97482,3.831846441
