Data_center,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,power_usage_2023_kwh,power_usage_per_hour_2023_kwh
DataBank DFW9 - Red Oak,Stainback Rd,-79.3309933,36.2918471,GEOMETRIC_CENTER,78464.60072,8.957146201
Optiquest Datacenter,780 Westridge Rd,-79.8688726,36.0923802,RANGE_INTERPOLATED,78464.60072,8.957146201
Reese Data Center,9924 Reese Blvd.,-80.8620331,35.4053795,RANGE_INTERPOLATED,78464.60072,8.957146201
365 Data Centers - Commack,500 Commack Dr,-78.8459163,35.9403363,GEOMETRIC_CENTER,31776.44531,3.627448095
Lumen Fort Myers 2,1547 Seaboard St,-78.8901751,33.715686,RANGE_INTERPOLATED,11252.68293,1.284552846
Lumen Fort Myers 1,1523 Seaboard St,-78.8901751,33.715686,RANGE_INTERPOLATED,11252.68293,1.284552846
Microsoft Hillcrest,23970,-78.1792434,36.7707014,APPROXIMATE,71566.85412,8.169732206
Lumen Herdon 2,251 Exchange Place,-79.7923545,36.069413,RANGE_INTERPOLATED,71566.85412,8.169732206
Globalinx Virginia Beach,1650 Corporate Landing Pkwy,-76.0099659,36.7831,ROOFTOP,71566.85412,8.169732206
NAP of Virginia Beach,1893 Corporate Landing Pkwy,-76.010494,36.776384,ROOFTOP,71566.85412,8.169732206
Telxius Virginia Beach CLS,1900 Corporate Landing Pkwy,-76.0077396,36.777069,ROOFTOP,71566.85412,8.169732206
Amazon AWS IAD - 2097 Harpers Rd,2097 Harpers Rd,-76.0353626,36.7888624,ROOFTOP,71566.85412,8.169732206
Zone5,2415 Almeda Ave,-76.2160552,36.8781266,ROOFTOP,71566.85412,8.169732206
DC BLOX Atlanta West,1701 North River Road,-79.0579456,35.9618567,ROOFTOP,73516.55952,8.392301316
365 Data Centers - Philadelphia (Downtown),1500 Spring Garden St,-79.8130471,36.0655977,ROOFTOP,65574.85714,7.485714286
H5 Data Centers Philadelphia,1500 Spring Garden St,-79.8130471,36.0655977,ROOFTOP,65574.85714,7.485714286
SafeHouse Datacenter,9813 Dawson Creek Blvd,-76.747737,35.0008446,GEOMETRIC_CENTER,5071.578947,0.578947368
Centersquare - Columbus CMH1,8180 Green Meadows Dr N,-77.8491104,34.2618468,GEOMETRIC_CENTER,15153.11538,1.729807692
113 North Myers Street (CLT10),113 North Myers Street,-80.8355376,35.2218867,ROOFTOP,43814.36066,5.001639344
125 North Myers Street (CTL11),125 North Myers Street,-80.8353129,35.2221137,ROOFTOP,43814.36066,5.001639344
Flexential Charlotte - South Data Center,8910 Lenox Pointe Drive,-80.9369318,35.1354027,ROOFTOP,43814.36066,5.001639344
Flexential Charlotte - North Data Center,10105 David Taylor Drive,-80.7657984,35.3297403,ROOFTOP,43814.36066,5.001639344
731 East Trade Street (CTL12),731 East Trade Street,-80.8360056,35.2215699,ROOFTOP,43814.36066,5.001639344
TierPoint Charlotte 4- Center Park,1805 Center Park Drive,-80.9281183,35.1731908,ROOFTOP,43814.36066,5.001639344
TierPoint Charlotte 2 - North Myers,125 N. Myers St.,-80.8353129,35.2221137,ROOFTOP,43814.36066,5.001639344
Segra Kannapolis,465 Charles Babbage Lane,-80.6227849,35.505162,ROOFTOP,43814.36066,5.001639344
Segra Charlotte 2,3101 International Airport Drive,-80.9384854,35.1937622,ROOFTOP,43814.36066,5.001639344
Segra Charlotte 1,3100 International Airport Dr,-80.9378231,35.1937132,ROOFTOP,43814.36066,5.001639344
ScaleMatrix Charlotte,1805 Center Park Drive,-80.9281183,35.1731908,ROOFTOP,43814.36066,5.001639344
H5 Data Centers Charlotte,10105 David Taylor Dr,-80.7657984,35.3297403,ROOFTOP,43814.36066,5.001639344
CENTRA Charlotte (CLT01),701 E Trade St,-80.8367668,35.2220969,ROOFTOP,43814.36066,5.001639344
Charlotte Colocation Center,5821 Fairview Road,-80.8418243,35.1520365,ROOFTOP,43814.36066,5.001639344
Cogent Data Center - Charlotte,701 East Trade Street,-80.8367668,35.2220969,ROOFTOP,43814.36066,5.001639344
Meta Forest City Data Center,404 Social Circle,-80.87662557,35.29449936,GoogleMap,43814.36066,5.001639344
Windstream Charlotte,301 S McDowell St,-80.8375626,35.2180275,ROOFTOP,43814.36066,5.001639344
Lumen Charlotte 3,1027 N Church St,-80.83334746,35.23591302,GoogleMap,43814.36066,5.001639344
Lumen Charlotte 4,5001 Airport Center Pkwy,-80.9212691,35.2218489,ROOFTOP,43814.36066,5.001639344
Segra Charlotte 4,1612 Cross Beam Drive,-80.9263597,35.1800476,ROOFTOP,43814.36066,5.001639344
Lumen Charlotte 2,112 N. Myers Street,-80.8353136,35.2214321,ROOFTOP,43814.36066,5.001639344
Lumen Charlotte 1,4021 Rose Lake Drive,-80.9281181,35.1786726,ROOFTOP,43814.36066,5.001639344
731 E Trade Data Center,731 E Trade Street,-80.8360056,35.2215699,ROOFTOP,43814.36066,5.001639344
CHARLOTTE DATA CENTER,9711 David Taylor Drive,-80.7572244,35.3260226,ROOFTOP,43814.36066,5.001639344
4021 Rose Lake Drive,4021 Rose Lake Drive,-80.9281181,35.1786726,ROOFTOP,43814.36066,5.001639344
Flexential Raleigh Data Center,5150 McCrimmon Parkway,-78.8288705,35.8503278,ROOFTOP,43814.36066,5.001639344
TierPoint Raleigh - RAL,5301 Departure Drive,-78.5970222,35.854359,ROOFTOP,43814.36066,5.001639344
LightEdge - Raleigh,8020 Arco Corporate Drive,-78.7786857,35.9075065,ROOFTOP,43814.36066,5.001639344
Segra Raleigh,2100 Garner Station Blvd.,-78.662364,35.7249828,ROOFTOP,43814.36066,5.001639344
American Tower AEDC Raleigh,6081 Chapel Hill Rd,-78.805706,35.8045003,GEOMETRIC_CENTER,43814.36066,5.001639344
Celito Data Center,1400 - 105 Sunday Drive,-78.73115813,35.79844941,GoogleMap,43814.36066,5.001639344
Lumen Raleigh 4,5301 Departure Dr,-78.5970222,35.854359,ROOFTOP,43814.36066,5.001639344
Lumen Raleigh 2,1918 Wake Forest Road,-78.6242117,35.8058507,ROOFTOP,43814.36066,5.001639344
Lumen Raleigh 3,3440 Tarheel Drive,-78.6094582,35.8259077,ROOFTOP,43814.36066,5.001639344
Tranquil Hosting,500 Gregson Dr,-78.8149819,35.7338798,ROOFTOP,43814.36066,5.001639344
Microsoft Lyle Creek,1521 N NC 16 Hwy,-81.205876,35.727321,ROOFTOP,43814.36066,5.001639344
Apple Newton Data Center,5977 Startown Rd,-81.2569565,35.5877634,ROOFTOP,43814.36066,5.001639344
