Data_center,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,power_usage_2023_kwh,power_usage_per_hour_2023_kwh
Amazon AWS IAD - Quail Campus,24214-24244 Quail Ridge Ln,-82.7994194,36.7149566,APPROXIMATE,71566.85412,8.169732206
Amazon AWS IAD - 24244 Quail,24244 Quail Ridge Ln,-82.7994194,36.7149566,APPROXIMATE,71566.85412,8.169732206
OnePartner ATAC,158 Advanced Technology Drive,-82.8023963,36.7126773,ROOFTOP,71566.85412,8.169732206
Netrality - Indy Telcom Center,733 W Henry St,-81.9425714,34.9427579,RANGE_INTERPOLATED,5071.578947,0.578947368
CBTS Lebanon Data Center,4433 Tree Top Way,-83.5679998,35.8130676,RANGE_INTERPOLATED,15153.11538,1.729807692
Automated Results Data Center,28772,-82.8371353,35.140543,APPROXIMATE,43814.36066,5.001639344
Google Lenoir Data Center,708 Lynhaven Dr,-81.54748639,35.89833304,GoogleMap,43814.36066,5.001639344
Windstream Bristol,112 6th St,-82.18357649,36.59312233,GoogleMap,28850.86957,3.293478261
DartPoints Spartanburg,5700 N Blackstock Rd,-82.0348305,34.9965797,ROOFTOP,134904,15.4
Technology Solutions,301 By Pass 123,-82.9435956,34.6983572,RANGE_INTERPOLATED,134904,15.4
