Data_center,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,power_usage_2023_kwh,power_usage_per_hour_2023_kwh
Lumen Laredo 1,518 Farragut,-84.1711345,35.8778548,APPROXIMATE,78464.60072,8.957146201
Lumen Waco,"1417 Airbase Rd,",-83.9924721,35.8231192,GEOMETRIC_CENTER,78464.60072,8.957146201
Amazon AWS IAD - 24224 Quail,24224 Quail Ridge Ln,-82.2800546,36.8537362,APPROXIMATE,71566.85412,8.169732206
DP Facilities - Mineral Gap Data Center,5978 Windswept Blvd,-82.5272294,36.9777506,ROOFTOP,71566.85412,8.169732206
56 Marietta Street (ATL13),56 Marietta Street,-84.3914602,33.7554648,ROOFTOP,73516.55952,8.392301316
Centersquare Lithia Springs,375 Riverside Pkwy,-84.5811904,33.744177,ROOFTOP,73516.55952,8.392301316
250 Williams St NW (ATL14),250 Williams Street NW,-84.3914096,33.7615051,ROOFTOP,73516.55952,8.392301316
101 Aquila Way (ATL11),101 Aquila Way,-84.5795181,33.7464942,ROOFTOP,73516.55952,8.392301316
Flexential Atlanta - Norcross Data Center,2775 Northwoods Parkway NW,-84.1986446,33.954772,ROOFTOP,73516.55952,8.392301316
Hivelocity - Atlanta 2,250 Williams Street NW,-84.3914096,33.7615051,ROOFTOP,73516.55952,8.392301316
Flexential Atlanta - Douglasville 1 Data Center,1700 N. River Rd,-84.61564562,33.73192526,GoogleMap,73516.55952,8.392301316
10 Forsyth Street NW,10 Forsyth St NW,-84.392026,33.755232,ROOFTOP,73516.55952,8.392301316
Flexential Atlanta - Douglasville 2 Data Center,1750 N. River Rd.,-84.61387426,33.73248443,GoogleMap,73516.55952,8.392301316
CoreSite Atlanta (AT2),1130 Powers Ferry Place,-84.4813835,33.9260089,ROOFTOP,73516.55952,8.392301316
T5 Data Centers - T5@Atlanta 1,1456 Trae Ln,-84.60498,33.763433,ROOFTOP,73516.55952,8.392301316
CoreSite Atlanta (AT1),55 Marietta Street NW,-84.3911017,33.7559437,ROOFTOP,73516.55952,8.392301316
Centersquare - Atlanta ATL1,375 Riverside Parkway,-84.5811904,33.744177,ROOFTOP,73516.55952,8.392301316
H5 Data Centers Atlanta,345 Courtland St. NE,-84.3836503,33.765199,ROOFTOP,73516.55952,8.392301316
ATL Data Center,2380 Godby Rd,-84.467167,33.6145252,ROOFTOP,73516.55952,8.392301316
Equinix AT5,2836 Peterson Place Northwest,-84.227186,33.938982,ROOFTOP,73516.55952,8.392301316
Lunavi Atlanta,180 Peachtree Street,-84.3878051,33.7585442,ROOFTOP,73516.55952,8.392301316
QTS Atlanta-Suwanee DC 1,300 Satellite Blvd,-84.0611985,34.035257,ROOFTOP,73516.55952,8.392301316
Cogent Data Center - Atlanta 1,55 Marietta St NW,-84.3911017,33.7559437,ROOFTOP,73516.55952,8.392301316
Serverfarm ATL1,305 Satellite Blvd,-84.0638073,34.0361703,ROOFTOP,73516.55952,8.392301316
DataBank ATL3 - Atlanta West End,1150 White Street Southwest,-84.426481,33.734499,ROOFTOP,73516.55952,8.392301316
DataBank ATL1 - Midtown Atlanta,760 W Peachtree St NW,-84.3877354,33.7754992,ROOFTOP,73516.55952,8.392301316
DataBank ATL5 - Lithia Springs,4764 Bakers Ferry Rd SW,-84.5403011,33.7473874,RANGE_INTERPOLATED,73516.55952,8.392301316
Edged Atlanta ATL3,1968 Marietta Rd NW,-84.4512648,33.8077378,ROOFTOP,73516.55952,8.392301316
Edged Atlanta ATL2,1968 Marietta Rd NW,-84.4512648,33.8077378,ROOFTOP,73516.55952,8.392301316
Edged Atlanta ATL1,1968 Marietta Rd NW,-84.4512648,33.8077378,ROOFTOP,73516.55952,8.392301316
T5 Data Centers - T5@Atlanta Campus,1456 Trae Ln,-84.60498,33.763433,ROOFTOP,73516.55952,8.392301316
EdgeConneX Atlanta - EDCATL01,1003 Donnelly Ave SW,-84.420129,33.7293689,ROOFTOP,73516.55952,8.392301316
Edged Atlanta Campus,1968 Marietta Rd NW,-84.4512648,33.8077378,ROOFTOP,73516.55952,8.392301316
DataBank ATL4 - South Fulton,200 Selig Dr SW,-84.5482563,33.7505191,ROOFTOP,73516.55952,8.392301316
Volico Atlanta,55 Marietta St,-84.3911017,33.7559437,ROOFTOP,73516.55952,8.392301316
T5 Data Centers - T5@Atlanta 4,1456 Trae Ln,-84.60498,33.763433,ROOFTOP,73516.55952,8.392301316
T5 Data Centers - T5@Atlanta 5,1456 Trae Ln,-84.60498,33.763433,ROOFTOP,73516.55952,8.392301316
T5 Data Centers - T5@Atlanta 2,1456 Trae Ln,-84.60498,33.763433,ROOFTOP,73516.55952,8.392301316
T5 Data Centers - T5@Atlanta 3,1456 Trae Ln,-84.60498,33.763433,ROOFTOP,73516.55952,8.392301316
QTS Atlanta-Suwanee DC 2,120 Satellite Boulevard,-84.0576288,34.0370725,ROOFTOP,73516.55952,8.392301316
Cogent Data Center - Atlanta 2,1190 Allene Ave SW,-84.412569,33.722413,ROOFTOP,73516.55952,8.392301316
Equinix AT4,450 Interstate North Parkway,-84.4536112,33.8954451,ROOFTOP,73516.55952,8.392301316
QTS Atlanta-Fayetteville,1435 Hwy 54 W,-84.5222234,33.447514,ROOFTOP,73516.55952,8.392301316
Coloblox Marietta Data Center,2812 Spring Rd SE,-84.4723184,33.8839485,ROOFTOP,73516.55952,8.392301316
ColoCrossing GA1,34 Peachtree Street,-84.389679,33.7549391,ROOFTOP,73516.55952,8.392301316
Google Douglas County Data Center,300 Riverside Pkwy,-84.585253,33.7495503,ROOFTOP,73516.55952,8.392301316
Performive Atlanta Data Center 1,55 Marietta,-84.391066,33.755807,ROOFTOP,73516.55952,8.392301316
Performive Atlanta Data Center 2,34 Peachtree St.,-84.389679,33.7549391,ROOFTOP,73516.55952,8.392301316
Windstream Atlanta,1593 NE Expressway,-84.3271883,33.8348363,ROOFTOP,73516.55952,8.392301316
40 Perimeter Center E,40 Perimeter Center E,-84.3265121,33.9265002,ROOFTOP,73516.55952,8.392301316
Equinix AT2,56 Marietta Street NW,-84.3914602,33.7554648,ROOFTOP,73516.55952,8.392301316
Equinix AT3,56 Marietta Street NW,-84.3914602,33.7554648,ROOFTOP,73516.55952,8.392301316
Equinix AT1,180 Peachtree Street NW,-84.3877746,33.7585633,ROOFTOP,73516.55952,8.392301316
Lumen College Park,4311 Best Rd,-84.458498,33.6375902,ROOFTOP,73516.55952,8.392301316
