Data_center,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,power_usage_2023_kwh,power_usage_per_hour_2023_kwh
Lumen San Jose 1,1741 Technology Drive,-90.7702338,38.768228,RANGE_INTERPOLATED,33566.97482,3.831846441
Plug and Play Tech Center,440 N Wolfe Road,-90.7702338,38.768228,RANGE_INTERPOLATED,33566.97482,3.831846441
2401 Walsh St (SJC18),2401 Walsh Street,-90.2688592,38.5799859,GEOMETRIC_CENTER,33566.97482,3.831846441
Amazon AWS ORD - 63050 Prairie,63050 Prairie Dr,-90.5942848,38.2444862,GEOMETRIC_CENTER,49338.91391,5.632296108
Pearl Technology Peoria Data Center,606 NE Jefferson Street,-89.58385629,40.69672951,GoogleMap,49338.91391,5.632296108
Flexential Tampa - North Data Center,8350 Parkedge Drive,-90.5525628,38.3985927,RANGE_INTERPOLATED,11252.68293,1.284552846
CoreSite Miami (MI1),2115 NW 22nd Street,-97.5796043,35.4922402,GEOMETRIC_CENTER,11252.68293,1.284552846
Dedicated Server Store,1953 NW 22nd Street,-97.5796043,35.4922402,GEOMETRIC_CENTER,11252.68293,1.284552846
44480 Hastings Drive (ACC4),44480 Hastings Drive,-91.7207056,35.2384257,GEOMETRIC_CENTER,71566.85412,8.169732206
44521 Hastings Drive (ACC5),44521 Hastings Drive,-91.7207056,35.2384257,GEOMETRIC_CENTER,71566.85412,8.169732206
Franklin PUD Data Center,1411 W Clark Street,-90.9434079,39.203406,GEOMETRIC_CENTER,58108,6.6333333
Ark Data Centers Pittsburgh,161 Armstrong Drive,-94.1953183,39.0172773,RANGE_INTERPOLATED,65574.85714,7.485714286
viLogics,378 Industrial Park Drive,-89.4736311,39.165374,RANGE_INTERPOLATED,65574.85714,7.485714286
TierPoint Kansas City,10801 N. Amity Avenue,-94.6850568,39.2901227,ROOFTOP,24309,2.775
LightEdge - Kansas City,9050 NE Underground Dr.,-94.471348,39.15912,ROOFTOP,24309,2.775
1530 Swift,1530 Swift St.,-94.57775974,39.13734233,GoogleMap,24309,2.775
Rackspace Kansas City,10828 NW Airworld Drive,-94.7057073,39.3035122,GEOMETRIC_CENTER,24309,2.775
Cogent Data Center - Kansas City,101 Holmes St,-94.57635984,39.112617,GoogleMap,24309,2.775
11155 N Airworld Dr,11155 N Airworld Dr,-94.6740566,39.2956805,ROOFTOP,24309,2.775
Windstream Kansas City,1201 Troost Ave,-94.5695958,39.0988678,ROOFTOP,24309,2.775
Joes Datacenter,1325 Tracy Ave.,-94.5673169,39.0971951,ROOFTOP,24309,2.775
TierPoint St. Louis-Olive,1111 Olive St.,-90.19611838,38.62953525,GoogleMap,24309,2.775
Netrality - 210 N Tucker,210 N Tucker,-90.19717621,38.62925615,GoogleMap,24309,2.775
H5 Data Centers St. Louis,710 N Tucker Blvd,-90.195873,38.632672,ROOFTOP,24309,2.775
Cybercon Data Center,210 N. Tucker Blvd.,-90.1971786,38.6292617,ROOFTOP,24309,2.775
TierPoint St. Louis - Millpark,2315 Millpark Drive,-90.411022,38.700045,ROOFTOP,24309,2.775
Hostirian St. Louis,11756 Borman Drive,-90.4323167,38.6946308,ROOFTOP,24309,2.775
Contegix St Louis,210 North Tucker,-94.6889238,37.4109702,RANGE_INTERPOLATED,24309,2.775
Lumen St. Louis 1,1015 Locust Street,-90.195188,38.6301823,ROOFTOP,24309,2.775
Verizon St. Louis #2,2020 Westport Center Dr,-90.4212056,38.6936216,ROOFTOP,24309,2.775
Centersquare - St. Louis STL1,587 James S. McDonnell Blvd,-90.3814896,38.772899,ROOFTOP,24309,2.775
Datotel,710 North Tucker Blvd,-90.195873,38.632672,ROOFTOP,24309,2.775
The Globe Building,710 North Tucker Blvd,-90.195873,38.632672,ROOFTOP,24309,2.775
Connectria STL-1,210 N. Tucker Blvd,-90.1971786,38.6292617,ROOFTOP,24309,2.775
Lumen Columbia 1,3201 Falling Leaf Ct,-92.2963027,38.9148481,ROOFTOP,24309,2.775
ISG Columbia,2500 N Stadium,-92.3721322,38.98089242,GoogleMap,24309,2.775
Bluebird Underground,1904 N LeCompte,-93.21218174,37.23139729,GoogleMap,24309,2.775
TierPoint Oklahoma City #1,4121 Perimeter Center Dr.,-97.5968337,35.5143111,ROOFTOP,51100,5.8333333
RACK59,7725 W Reno Avenue,-97.6506997,35.4655946,ROOFTOP,51100,5.8333333
TierPoint Oklahoma City #2,4114 Perimeter Center Place,-97.5950748,35.5135682,ROOFTOP,51100,5.8333333
Windstream Oklahoma City,825 N Broadway Ave,-97.5146138,35.475858,ROOFTOP,51100,5.8333333
Lumen Oklahoma City 1,201 Robert S Kerr Blvd,-97.1691069,34.642865,RANGE_INTERPOLATED,51100,5.8333333
TulsaConnect (DC4) Oklahoma,701 N. Broadway Ave.,-97.5146638,35.4741767,ROOFTOP,51100,5.8333333
MIDCON Recovery Solutions,13431 N. Broadway Extension,-97.510027,35.5943549,RANGE_INTERPOLATED,51100,5.8333333
TierPoint Tulsa - Archer,322 E. Archer,-95.98857586,36.15878883,GoogleMap,51100,5.8333333
TierPoint Tulsa - State Farm,12151 E. State Farm Boulevard,-95.8401248,36.0966178,ROOFTOP,51100,5.8333333
Jackson Technical Data Center,611 S Elgin Ave,-95.9844238,36.151943,ROOFTOP,51100,5.8333333
OCOSA Data Center,321 S. Boston Ave.,-95.98930644,36.15322095,GoogleMap,51100,5.8333333
Google Mayes County Data Center,4581 Webb St,-96.05709742,36.04592764,GoogleMap,51100,5.8333333
110 West 7th Street,110 W 7th St,-95.99060574,36.1485226,GoogleMap,51100,5.8333333
TulsaConnect (DC2) Oklahoma,110 W. 7th St,-95.99060574,36.1485226,GoogleMap,51100,5.8333333
Windstream Tulsa,110 W 7th St,-95.99060574,36.1485226,GoogleMap,51100,5.8333333
CORE Data Center,27039 S. 4440 Rd.,-95.0924195,36.6258201,ROOFTOP,51100,5.8333333
Lumen Tulsa 1,18 W. Archer Street,-95.9928854,36.1564801,ROOFTOP,51100,5.8333333
Tulsa Technology Exchange,509 S Boston Ave,-95.988419,36.151595,ROOFTOP,51100,5.8333333
TulsaConnect (DC1) Oklahoma,321 S. Boston Ave,-95.98930644,36.15322095,GoogleMap,51100,5.8333333
TulsaConnect (DC3) Oklahoma,4500 S. 129th E Ave,-95.8398889,36.0980827,ROOFTOP,51100,5.8333333
Isocentric Networks,"100 West 5th Street, STE 705",-95.99170186,36.1505799,GoogleMap,51100,5.8333333
Kennedy Building,321 South Boston Avenue,-95.98930644,36.15322095,GoogleMap,51100,5.8333333
Ark Data Centers Duluth 1,3401 Technology Drive,-90.7919984,38.7804025,ROOFTOP,18318.13333,2.09111111
EdgeConneX Memphis - EDCMEM01,"4005 S Mendenhall Rd, Unit #6",-89.8853563,35.0387834,ROOFTOP,28850.86957,3.293478261
DataBank MEM1 - Memphis,7620 Appling Center Dr,-89.8084231,35.2031039,ROOFTOP,28850.86957,3.293478261
Expedient Memphis,3180 Players Lane,-89.7861257,35.0629714,ROOFTOP,28850.86957,3.293478261
Verizon Memphis,5127 Truse Rd,-89.8909659,35.1086238,ROOFTOP,28850.86957,3.293478261
Sentinel TN-1,3180 Players Ln,-89.7861257,35.0629714,ROOFTOP,28850.86957,3.293478261
Lumen Memphis 1,3993 Crowfarn Drive,-89.9307347,35.0288278,ROOFTOP,28850.86957,3.293478261
Worldspice,5050 Poplar Ave,-89.8931179,35.1131636,ROOFTOP,28850.86957,3.293478261
Cloudsmart,4 Pin Oak Drive,-89.8724892,38.7522812,GEOMETRIC_CENTER,4380,0.5
Netrality - 7801 Nieman,7801 Nieman Rd,-94.7124311,38.9865022,ROOFTOP,625.7142857,0.071428571
DataBank MCI2 - Pine Ridge,10605 W. 84th Terrace,-94.7089214,38.9751845,ROOFTOP,625.7142857,0.071428571
DataBank MCI1 - Kansas City - South Lake,15721 College Boulevard,-94.7682598,38.9269037,ROOFTOP,625.7142857,0.071428571
C1 Kansas Data Center,17795 W. 106th,-94.79199665,38.93572248,GoogleMap,625.7142857,0.071428571
QTS Overland Park,12851 Foster St.,-94.67326263,38.89615412,GoogleMap,625.7142857,0.071428571
NetStandard,2000 Merriam Lane,-94.652655,39.0495819,ROOFTOP,625.7142857,0.071428571
FullControl Network,14400 College blvd,-94.7508657,38.9279995,ROOFTOP,625.7142857,0.071428571
DataBank MCI3 - South Lake Campus,11200 Lakeview Ave,-94.77029142,38.92516175,GoogleMap,625.7142857,0.071428571
Windstream Lenexa,7945 Bond St,-94.71847073,38.98451871,GoogleMap,625.7142857,0.071428571
UV&S Data Center,245 N. Waco,-97.343706,37.6892128,ROOFTOP,625.7142857,0.071428571
ISG Wichita,3700 W. May,-97.38577281,37.65961335,GoogleMap,625.7142857,0.071428571
TierPoint Little Rock,15707 Chenal Parkway,-92.4442068,34.7560412,ROOFTOP,94944.21,10.83838014
Mainstream Technologies,325 W. Capitol Ave.,-92.2743921,34.7442356,ROOFTOP,94944.21,10.83838014
Windstream Little Rock,4001 N Rodney Parham Rd,-92.3988361,34.7867392,ROOFTOP,94944.21,10.83838014
