Data_center,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,power_usage_2023_kwh,power_usage_per_hour_2023_kwh
CoreSite Santa Clara (SV3),2901 Coronado Drive,-96.9848213,32.899055,RANGE_INTERPOLATED,33566.97482,3.831846441
iStreet Solutions,1075 Triangle Ct.,-93.589052,45.5830484,GEOMETRIC_CENTER,33566.97482,3.831846441
Lumen Bakerfield 1,2020 P. Street,-91.9680022,41.7774219,GEOMETRIC_CENTER,33566.97482,3.831846441
2323 Bryan Street (DFW10),2323 Bryan Street,-96.794157,32.7872315,ROOFTOP,78464.60072,8.957146201
8435 Stemmons Freeway (DFW36),8435 Stemmons Freeway,-96.873974,32.827345,ROOFTOP,78464.60072,8.957146201
4025 Midway Rd (DFW11),4025 Midway Rd,-96.8447316,33.0216679,ROOFTOP,78464.60072,8.957146201
850 E. Collins Boulevard (DFW28),850 E. Collins Boulevard,-96.7132162,32.9673684,ROOFTOP,78464.60072,8.957146201
Centersquare Webb Chapel,11830 Webb Chapel Rd.,-96.8706428,32.9119147,ROOFTOP,78464.60072,8.957146201
900 Quality Way (DFW17),900 Quality Way,-96.7131951,32.96624837,GoogleMap,78464.60072,8.957146201
Centersquare Allen,900 Guardians Way,-96.68326,33.094894,ROOFTOP,78464.60072,8.957146201
950 E. Collins Boulevard (DFW29),950 E. Collins Boulevard,-96.7103992,32.967205,ROOFTOP,78464.60072,8.957146201
Stream DC DFW VII - Garland,1813 Lookout Drive,-94.0527347,44.1772782,RANGE_INTERPOLATED,78464.60072,8.957146201
2440 Marsh Lane (DFW12),2440 Marsh Lane,-96.8537053,32.98010897,GoogleMap,78464.60072,8.957146201
Hivelocity - Dallas 1,1515 Round Table Dr,-96.8784099,32.8379029,ROOFTOP,78464.60072,8.957146201
907 Security Row (DFW35),907 Security Row,-96.7103368,32.96505458,GoogleMap,78464.60072,8.957146201
Flexential Dallas - Downtown Data Center,1950 Stemmons Freeway,-96.819412,32.800748,ROOFTOP,78464.60072,8.957146201
Flexential Dallas - Plano Data Center,3500 E Plano Pkwy,-96.6664411,33.0075817,ROOFTOP,78464.60072,8.957146201
4849 Alpha Road (DFW14),4849 Alpha Road,-96.82802866,32.93389417,GoogleMap,78464.60072,8.957146201
Flexential Dallas - Richardson Data Center,3010 Waterview Parkway,-96.7525175,32.9948279,ROOFTOP,78464.60072,8.957146201
2501 S. State Highway 121 (DFW26),2501 S. State Highway 121,-96.9936515,33.0073636,ROOFTOP,78464.60072,8.957146201
NTT Dallas TX1,2008 Lookout Drive,-94.0525116,44.1879802,RANGE_INTERPOLATED,78464.60072,8.957146201
TierPoint Dallas,3004 Irving Blvd,-96.8577558,32.8077275,ROOFTOP,78464.60072,8.957146201
CyrusOne DFW3 - Allen,2300 Chelsea Blvd,-96.659802,33.140293,ROOFTOP,78464.60072,8.957146201
TierPoint Dallas - Fort Worth,13701 Independence,-97.25241553,32.97960687,GoogleMap,78464.60072,8.957146201
Tierpoint Dallas-Allen,820 Allen Commerce Parkway,-96.657387,33.138618,ROOFTOP,78464.60072,8.957146201
DataBank DFW1 - Downtown Dallas,400 S. Akard,-96.7989116,32.7782042,ROOFTOP,78464.60072,8.957146201
Evocative DAL6,1221 Coit Road,-96.7688147,33.0157057,ROOFTOP,78464.60072,8.957146201
DataBank DFW2 - North Dallas,904 Quality Way,-96.71162286,32.96599747,GoogleMap,78464.60072,8.957146201
Cologix DAL1,1950 N. Stemmons Fwy,-96.819412,32.800748,ROOFTOP,78464.60072,8.957146201
Cologix DAL2,1950 North Stemmons Freeway,-96.819412,32.800748,ROOFTOP,78464.60072,8.957146201
Equinix DA1,1950 North Stemmons Freeway,-96.819412,32.800748,ROOFTOP,78464.60072,8.957146201
365 Data Centers - Richardson,1001 East Campbell Road,-96.7073233,32.9761212,ROOFTOP,78464.60072,8.957146201
