Data_center,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,power_usage_2023_kwh,power_usage_per_hour_2023_kwh
T5 Data Centers - T5@Silicon Valley,39800 Eureka Dr,-80.5245862,25.5940969,RANGE_INTERPOLATED,33566.97482,3.831846441
Apple Newark Data Center,39800 Eureka Drive,-80.5245862,25.5940969,RANGE_INTERPOLATED,33566.97482,3.831846441
Windstream Dallas,600 N Pearl St,-81.6618648,30.3322494,ROOFTOP,78464.60072,8.957146201
Lumen Amarillo 1,512 SE 8th Avenue,-80.8228623,27.2381542,RANGE_INTERPOLATED,78464.60072,8.957146201
H5 Data Centers Portland,1233 NW 12th Ave,-80.2145565,25.7863528,RANGE_INTERPOLATED,58840.94495,6.717002849
OVHcloud HIL1,1300 NE 25th Ave,-82.1037086,29.19966,RANGE_INTERPOLATED,58840.94495,6.717002849
Hivelocity - Tampa 1,8010 Woodland Center Blvd.,-82.5247563,28.01986,ROOFTOP,11252.68293,1.284552846
Hivelocity - Tampa 2,5908 Hampton Oaks Parkway,-82.3583348,28.0048878,ROOFTOP,11252.68293,1.284552846
Flexential Tampa - West Data Center,9417 Corporate Lake Drive,-82.5400043,28.0372131,ROOFTOP,11252.68293,1.284552846
Datatech Hosting Tampa,7904 Hopi Place,-82.529751,28.0191833,ROOFTOP,11252.68293,1.284552846
Centersquare - Tampa TPA1,9310 Florida Palm Dr.,-82.3511311,27.94601,ROOFTOP,11252.68293,1.284552846
Cogent Data Center - Tampa,400 N Tampa St,-82.4595212,27.9477083,ROOFTOP,11252.68293,1.284552846
365 Data Centers - Tampa,655 N Franklin St.,-82.4583934,27.9496061,ROOFTOP,11252.68293,1.284552846
E Solutions,400 North Tampa Street,-82.4595212,27.9477083,ROOFTOP,11252.68293,1.284552846
Lumen Tampa 1,7909 Woodland Center Blvd,-82.5234778,28.018789,ROOFTOP,11252.68293,1.284552846
Verizon Tampa,5904-A Hampton Oaks Pkwy,-82.3589427,28.0054077,ROOFTOP,11252.68293,1.284552846
Lumen Tampa 4,400 North Tampa Street,-82.4595212,27.9477083,ROOFTOP,11252.68293,1.284552846
Lumen Tampa 2,59007 Hampton Oaks Parkway,-82.3576864,28.004432,GEOMETRIC_CENTER,11252.68293,1.284552846
IT Support Guys - Tampa,2709 N Rocky Point Dr,-82.5677374,27.9645519,ROOFTOP,11252.68293,1.284552846
Hostway Tampa Franklin,655 N Franklin St,-82.4583934,27.9496061,ROOFTOP,11252.68293,1.284552846
Park Tower,400 North Tampa Street,-82.4595212,27.9477083,ROOFTOP,11252.68293,1.284552846
Acehost.com,412 E Madison St suite 1010,-82.45702445,27.94898284,GoogleMap,11252.68293,1.284552846
Iron Mountain Data Centers MIA-1,2925 NW 120th Terrace,-80.2472068,25.8845875,ROOFTOP,11252.68293,1.284552846
Hivelocity - Miami 1,50 NE 9th St,-82.3147415,29.652309,RANGE_INTERPOLATED,11252.68293,1.284552846
2300 NW 89th Pl (MIA11),2300 NW 89th Pl,-80.3432196,25.7952595,ROOFTOP,11252.68293,1.284552846
Equinix MI1 (NAP of the Americas),50 NE 9th Street,-82.3147415,29.652309,RANGE_INTERPOLATED,11252.68293,1.284552846
KeyCenter,11300 NW 25th Street,-80.3799457,25.7961266,ROOFTOP,11252.68293,1.284552846
Cogent Data Center - Miami,200 SE 1st St,-80.18992709,25.77322468,GoogleMap,11252.68293,1.284552846
Aptum Miami,2300 NW 89th Pl,-80.3432196,25.7952595,ROOFTOP,11252.68293,1.284552846
Nabiax Key Center,11300 NW 25th Street,-80.3799457,25.7961266,ROOFTOP,11252.68293,1.284552846
EdgeConneX Miami - EDCMIA02,475 NE 185th St.,-80.1914751,25.9454596,ROOFTOP,11252.68293,1.284552846
MIA2,200 SE 1st St,-80.18992709,25.77322468,GoogleMap,11252.68293,1.284552846
EdgeConneX Miami - EDCMIA01,2132 NW 114th Ave,-80.3812425,25.793027,ROOFTOP,11252.68293,1.284552846
Equinix MI6,"1525 NW 98th Court, International Corporate Park",-80.3546521,25.7876698,ROOFTOP,11252.68293,1.284552846
Volico Miami 1,100N Biscayne Blvd,-80.1881889,25.7756147,ROOFTOP,11252.68293,1.284552846
AT&T Miami,444 NW 79th Ave,-80.2310346,26.2360863,RANGE_INTERPOLATED,11252.68293,1.284552846
iM Critical Miami Data Center,100 NE 80th Terrace,-80.1949235,25.8483643,ROOFTOP,11252.68293,1.284552846
Equinix MI2,36 Northeast Second Street,-80.190335,25.7761972,GEOMETRIC_CENTER,11252.68293,1.284552846
Lumen Miami 5,1109 NW 22nd St,-80.2148204,25.7979518,ROOFTOP,11252.68293,1.284552846
Lumen Miami 4,50 NE 9th St,-82.3147415,29.652309,RANGE_INTERPOLATED,11252.68293,1.284552846
IPXON Miami,50 NE 9th St,-82.3147415,29.652309,RANGE_INTERPOLATED,11252.68293,1.284552846
Verizon Miami,16563 NW 15th Ave,-80.2241896,25.8593604,RANGE_INTERPOLATED,11252.68293,1.284552846
Lumen Miami,49 N.W. 5th Street,-80.1949173,25.7792407,ROOFTOP,11252.68293,1.284552846
Lumen Miami 3,200 SE First Street,-80.18992709,25.77322468,GoogleMap,11252.68293,1.284552846
Net Data,1080 NW 163rd Drive,-80.2174381,25.9243366,ROOFTOP,11252.68293,1.284552846
Digiport DataCenter,200 SE 1st Street,-80.18992709,25.77322468,GoogleMap,11252.68293,1.284552846
BurstNET - Miami DC1,200 SE 1ST ST,-80.18992709,25.77322468,GoogleMap,11252.68293,1.284552846
Nettogo,11560 SW 120 St,-80.38213638,25.65629537,GoogleMap,11252.68293,1.284552846
Virtual Servers Data Center,1100 NW 163rd Drive,-80.2177602,25.9240557,ROOFTOP,11252.68293,1.284552846
200 Technology Center,200 SE 1st Street,-80.18992709,25.77322468,GoogleMap,11252.68293,1.284552846
Volico,200 SE 1st St,-80.18992709,25.77322468,GoogleMap,11252.68293,1.284552846
CoreSite Orlando (OR1),9701 S. John Young Parkway,-81.4198393,28.4271462,ROOFTOP,11252.68293,1.284552846
HostDime Orlando,440 West Kennedy Blvd,-82.4654127,27.9448338,RANGE_INTERPOLATED,11252.68293,1.284552846
ndtHOST,8635 Holiday Springs Rd.,-80.6947575,28.2603016,GEOMETRIC_CENTER,11252.68293,1.284552846
HostDime Orlando 2,1 Innovative Pl,-81.3856569,28.6144634,ROOFTOP,11252.68293,1.284552846
Thrive US - Winter Haven,200 Avenue B NW,-81.7292136,28.023678,ROOFTOP,11252.68293,1.284552846
Cogent Data Center - Orlando,17401 Wewahootee Rd,-81.1210185,28.4253303,ROOFTOP,11252.68293,1.284552846
Colo Solutions Orlando,100 West Lucerne Circle,-81.3803867,28.5346898,ROOFTOP,11252.68293,1.284552846
Lumen Orlando,380 South Lakew Destiny Drive,-81.38927994,28.61588214,GoogleMap,11252.68293,1.284552846
Lumen Orlando 2,510 W. Columbia Street,-81.38517803,28.52702039,GoogleMap,11252.68293,1.284552846
Lumen Orlando 3,7003 Presidents Dr,-81.4180446,28.463893,ROOFTOP,11252.68293,1.284552846
Signal Hill Telecom Center,440 W. Kennedy Blvd,-82.4654127,27.9448338,RANGE_INTERPOLATED,11252.68293,1.284552846
Corserva Orlando,8251 Presidents Drive,-81.4141013,28.4476967,ROOFTOP,11252.68293,1.284552846
Atlantic.Net,440 West Kennedy Blvd,-82.4654127,27.9448338,RANGE_INTERPOLATED,11252.68293,1.284552846
Smart City,1101 N. Keller Road,-81.3996502,28.6387736,ROOFTOP,11252.68293,1.284552846
Volico Fort Lauderdale,500 Green Rd,-80.12935851,26.28966323,GoogleMap,11252.68293,1.284552846
Equinix  MI3,4680 Conference Way South,-80.1092917,26.3889349,ROOFTOP,11252.68293,1.284552846
Cogent Data Center - Boca Raton,5050 Conference Way North,-80.109732,26.3928052,ROOFTOP,11252.68293,1.284552846
3500 NW,3500 NW 2nd Ave,-80.1993824,25.809585,RANGE_INTERPOLATED,11252.68293,1.284552846
365 Data Centers-Boca Raton-Ph. 3&4,"3500 NW Boca Raton Blvd, Bldg 800",-80.0845196,26.3817708,ROOFTOP,11252.68293,1.284552846
365 Data Centers-Boca Raton-Phase 2,"3500 NW Boca Raton Blvd, Bldg 900",-80.0843453,26.3818261,ROOFTOP,11252.68293,1.284552846
Axios Hosting,5000 T-Rex Ave.,-80.1081693,26.391341,ROOFTOP,11252.68293,1.284552846
Flexential Fort Lauderdale Data Center,5301 NW 33rd Ave,-80.1932918,26.1901149,ROOFTOP,11252.68293,1.284552846
365 Data Centers - Fort Lauderdale,3250 W Commercial Blvd,-80.1908779,26.1849777,ROOFTOP,11252.68293,1.284552846
Lumen Fort Lauderdale 1,200 NW 2nd Street,-82.3266456,29.6681917,GEOMETRIC_CENTER,11252.68293,1.284552846
Lumen West Palm Beach 1,"410 Hampton Road,",-80.05517453,26.68357946,GoogleMap,11252.68293,1.284552846
Gainesville Data Center,2511 NW 41st Street,-80.2388492,25.813203,RANGE_INTERPOLATED,11252.68293,1.284552846
Flexential Jacksonville Data Center,4905 Belfort Road,-81.581866,30.24567,ROOFTOP,11252.68293,1.284552846
TierPoint Jacksonville,8324 Baymeadows Way,-81.5820019,30.2163762,ROOFTOP,11252.68293,1.284552846
Cologix JAX1,421 West Church Street,-81.662921,30.3314378,ROOFTOP,11252.68293,1.284552846
EdgeConneX Jacksonville - EDCJAX01,"6602 Executive Park Ct N, Unit #105.",-81.6041277,30.2542917,ROOFTOP,11252.68293,1.284552846
Cologix JAX2,4800 Spring Park Road,-81.6138663,30.2732215,ROOFTOP,11252.68293,1.284552846
ScaleMatrix Jacksonville,8324 Baymeadows Way,-81.5820019,30.2163762,ROOFTOP,11252.68293,1.284552846
American Tower EDC Jacksonville,325 17th Ave N,-82.6378718,27.7887411,RANGE_INTERPOLATED,11252.68293,1.284552846
Windstream Jacksonville,421 W. Church St.,-81.66286462,30.33141631,GoogleMap,11252.68293,1.284552846
DC BLOX Palm Coast,1035 Town Center Blvd,-81.3742455,28.3621354,RANGE_INTERPOLATED,11252.68293,1.284552846
SBA Edge JaxNAP,421 West Church Street,-81.662921,30.3314378,ROOFTOP,11252.68293,1.284552846
Lumen Jacksonville 1,4814 Phillips Highway,-81.6239096,30.2726272,ROOFTOP,11252.68293,1.284552846
CSX Data Center,6425 Southpoint Parkway,-81.6011631,30.261341,ROOFTOP,11252.68293,1.284552846
Communication Square,Communication Square LLC. 7108 S Kanner Hwy,-80.25402,27.118142,ROOFTOP,11252.68293,1.284552846
Sarcom Direct Data Center,8635 Holiday Springs Road,-80.6947575,28.2603016,GEOMETRIC_CENTER,11252.68293,1.284552846
Lumen Melbourne 1,1110 Line Street,-80.60236203,28.07171437,GoogleMap,11252.68293,1.284552846
Lumen Daytona Beach 1,111 N. Segrave St,-81.0242511,29.2110197,ROOFTOP,11252.68293,1.284552846
Digital Cloud Vault,8889 Pelican Bay Blvd N.,-81.8017262,26.2458457,ROOFTOP,11252.68293,1.284552846
Data Shelter DS1,2299 S Rock Rd,-80.4092194,27.4244645,ROOFTOP,11252.68293,1.284552846
Remington Technology Park,6980 Helm Dr,-81.5786346,30.1366925,RANGE_INTERPOLATED,71566.85412,8.169732206
CyrusOne NVA4 - Sterling,22811 International Drive,-81.5204949,28.3516291,RANGE_INTERPOLATED,71566.85412,8.169732206
Centersquare - Washington DC IAD2-A,22810 International Dr,-81.5204949,28.3516291,RANGE_INTERPOLATED,71566.85412,8.169732206
Amazon AWS IAD - International Campus,22868-22945 International Dr,-81.5204949,28.3516291,RANGE_INTERPOLATED,71566.85412,8.169732206
Amazon AWS IAD - 23005 International,23005 International Dr,-81.5204949,28.3516291,RANGE_INTERPOLATED,71566.85412,8.169732206
Amazon AWS IAD - Atlantic Blvd Campus,21195-21215 Atlantic Blvd,-81.4376828,30.3236626,RANGE_INTERPOLATED,71566.85412,8.169732206
Centersquare - Washington DC IAD2-B,22860 International Dr,-81.5204949,28.3516291,RANGE_INTERPOLATED,71566.85412,8.169732206
Amazon AWS IAD - 22868 International,22868 International Dr,-81.5204949,28.3516291,RANGE_INTERPOLATED,71566.85412,8.169732206
Amazon AWS IAD - 21195 Atlantic Blvd,21195 Atlantic Blvd,-81.4376828,30.3236626,RANGE_INTERPOLATED,71566.85412,8.169732206
DataBank ATL2 - Atlanta West End,1100 white street,-81.7902443,24.5548685,GEOMETRIC_CENTER,73516.55952,8.392301316
Evocative SEA1,140 4th Ave N,-82.6349427,27.7761035,RANGE_INTERPOLATED,58108,6.6333333
WORLDLINK South Datacenter,1300 SW 7th St,-80.2163183,25.7665703,ROOFTOP,58108,6.6333333
OneNeck Phoenix,1655 W Sunrise Blvd,-80.1655056,26.1366837,RANGE_INTERPOLATED,77200.83951,8.812881222
Verizon Boston #2,"89 Fulkerson St, 1st FL",-81.5157535,27.6648274,APPROXIMATE,20830.76471,2.377941176
Verizon Boston,"451 D Street, 3rd FL",-81.5157535,27.6648274,APPROXIMATE,20830.76471,2.377941176
Meta Kansas City Data Center,801 NW 128 St,-80.2129922,25.8918286,RANGE_INTERPOLATED,24309,2.775
Clear Rate Battle Creek POP,62 Michigan Ave E,-81.2986605,28.9706774,RANGE_INTERPOLATED,10305.88235,1.176470588
OTAVA Mid-Michigan,5225 Exchange Drive,-81.4144345,28.4605464,RANGE_INTERPOLATED,10305.88235,1.176470588
Cologix MIN1,511 11th Ave South,-81.3919489,30.277562,GEOMETRIC_CENTER,18318.13333,2.09111111
Lumen South Brunswick 1,4260 US Route 1 North,-80.7620921,28.4406726,ROOFTOP,60274.02985,6.880597015
Lumen Birmingham 2,401 6th Ave S,-80.0531161,26.6084996,RANGE_INTERPOLATED,99280,11.3333333
Lumen Nashville 3,2208 9th Ave North,-82.6633661,27.7807855,RANGE_INTERPOLATED,28850.86957,3.293478261
TenHats Knoxville,550 Fort Summit Way,-81.6531436,28.2288226,RANGE_INTERPOLATED,28850.86957,3.293478261
Litewire,204 Red Rd.,-80.2926691,25.9111402,GEOMETRIC_CENTER,28850.86957,3.293478261
Windstream Des Moines,3540 SW 61st St,-82.4113944,29.6451114,RANGE_INTERPOLATED,206444,23.5666667
Cloud South,424 Hampton Road,115.7572831,-32.0658234,GEOMETRIC_CENTER,11252.68293,1.284552846
SBA Edge Jacksonville,800 Water Street,-52.7202961,47.5481425,RANGE_INTERPOLATED,11252.68293,1.284552846
Iron Mountain Data Centers VA-7,8330 Bethlehem Road,8.7921111,47.3722412,APPROXIMATE,71566.85412,8.169732206
