Data_center,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,power_usage_2023_kwh,power_usage_per_hour_2023_kwh
Centersquare - Los Angeles LAX2,3015 Winona Avenue,-79.4008666,42.1430899,GEOMETRIC_CENTER,33566.97482,3.831846441
Centersquare - Los Angeles LAX2,3015 Winona Avenue,-79.4008666,42.1430899,GEOMETRIC_CENTER,33566.97482,3.831846441
Lumen San Francisco 1,185 Berry Street,-73.9619028,40.7159283,GEOMETRIC_CENTER,33566.97482,3.831846441
AT&T 3175 Spring,3175 Spring Street,-74.0015481,40.7243731,GEOMETRIC_CENTER,33566.97482,3.831846441
SimpleNet Colo,225 Broadway,-74.0085731,40.7119649,ROOFTOP,33566.97482,3.831846441
2805 Lafayette St (SJC31),2805 Lafayette Street,-73.9970957,40.7222954,GEOMETRIC_CENTER,33566.97482,3.831846441
3011 Lafayette St (SJC11),3011 Lafayette Street,-73.9970957,40.7222954,GEOMETRIC_CENTER,33566.97482,3.831846441
2045 & 2055 LaFayette St (SJC17),2045 & 2055 LaFayette Street,-73.9970957,40.7222954,GEOMETRIC_CENTER,33566.97482,3.831846441
DataBank SFO1 - Silicon Valley,5101 Lafayette Street,-73.9970957,40.7222954,GEOMETRIC_CENTER,33566.97482,3.831846441
Alchemy.net,2640 Main St,-73.8318582,40.7627998,RANGE_INTERPOLATED,33566.97482,3.831846441
Acorn Technology Services Data Center,1960 Chicago Ave,-87.8336141,41.8937334,RANGE_INTERPOLATED,33566.97482,3.831846441
Lumen Riverside 1,1550 Malborough Avenue,-83.0625303,42.289546,RANGE_INTERPOLATED,33566.97482,3.831846441
Equinix LA4,445 N Douglas St,-88.1679507,39.8667331,GEOMETRIC_CENTER,33566.97482,3.831846441
Lumen Oakland,1313 53rd Street,-73.9938746,40.632685,ROOFTOP,33566.97482,3.831846441
3015 Winona Avenue (BUR10),3015 Winona Avenue,-79.4008666,42.1430899,GEOMETRIC_CENTER,33566.97482,3.831846441
Lumen San Bernardino,5705 Industrial Parkway,-83.1947566,40.1240619,RANGE_INTERPOLATED,33566.97482,3.831846441
1210 Integrity Drive (DFW18),1210 Integrity Drive,-76.3428233,40.1095842,RANGE_INTERPOLATED,78464.60072,8.957146201
1215 Integrity Drive (DFW25),1215 Integrity Drive,-76.3421993,40.1095506,RANGE_INTERPOLATED,78464.60072,8.957146201
CyrusOne DFW1 - Carrollton,1649 Frankfort Road West,-80.3927417,40.5693377,RANGE_INTERPOLATED,78464.60072,8.957146201
Evocative DAL1,2800 Summit Ave,-74.0330827,40.7712537,ROOFTOP,78464.60072,8.957146201
Aligned DFW-01,2800 Summit Avenue,-74.0330827,40.7712537,ROOFTOP,78464.60072,8.957146201
Rackspace Dallas 2,1215 Integrity Drive,-76.3421993,40.1095506,RANGE_INTERPOLATED,78464.60072,8.957146201
Aligned DFW-02,2800 Summit Avenue,-74.0330827,40.7712537,ROOFTOP,78464.60072,8.957146201
Plano Campus,2800 Summit Avenue,-74.0330827,40.7712537,ROOFTOP,78464.60072,8.957146201
Lumen Fort Worth 1,1601 Jones Street,-74.0024423,40.732049,GEOMETRIC_CENTER,78464.60072,8.957146201
Lumen Dallas 3,1201 Main Street,-73.823015,40.7296164,RANGE_INTERPOLATED,78464.60072,8.957146201
SoftLayer - DAL07,1700 Summit Ave,-74.0391695,40.7646967,ROOFTOP,78464.60072,8.957146201
Enterhost,801 Cherry Street,-73.9779873,40.7124591,RANGE_INTERPOLATED,78464.60072,8.957146201
MDC McAllen - MCA2,422 S 11th St,-75.1600902,39.94417,ROOFTOP,78464.60072,8.957146201
San Antonio Data Center,8500 Vicar Drive,-86.7476544,36.0824122,RANGE_INTERPOLATED,78464.60072,8.957146201
DataBank HOU3 - Westway Park III,11003 Corporate Centre Dr,-73.706594,40.7006866,APPROXIMATE,78464.60072,8.957146201
"Lumen, 1124 Hardy Rd",1124 Hardy Rd,-79.7987859,37.2116717,GEOMETRIC_CENTER,78464.60072,8.957146201
24 Hour Data,811 E Plano Pkwy,-96.7018307,33.008244,ROOFTOP,78464.60072,8.957146201
American Tower EDC Austin,1601 West 10th Street,-73.9832921,40.607345,ROOFTOP,78464.60072,8.957146201
Tyler Vault.com,110 N College Ave,-86.1458786,39.7685465,ROOFTOP,78464.60072,8.957146201
Lumen Harlingen 2,514 E Monroe Ave,-77.0564434,38.8206847,GEOMETRIC_CENTER,78464.60072,8.957146201
Lumen Corpus Christi 1,4901 Westway Drive,-84.9519182,34.9295363,RANGE_INTERPOLATED,78464.60072,8.957146201
60 Hudson Street (JFK12),60 Hudson Street,-74.0083059,40.717729,ROOFTOP,31776.44531,3.627448095
32 Avenue of the Americas (JFK13),32 Avenue of the Americas (6th Ave),-74.0042846,40.7198769,ROOFTOP,31776.44531,3.627448095
111 Eight Avenue (JFK10),111 8th Avenue,-74.007212,40.6377586,GEOMETRIC_CENTER,31776.44531,3.627448095
Hivelocity - New York 1,7 Teleport Drive,-74.1753897,40.6067753,ROOFTOP,31776.44531,3.627448095
NYI-QTD1,60 Hudson Street,-74.0083059,40.717729,ROOFTOP,31776.44531,3.627448095
1 Ramland,1 Ramland Rd,-73.9757345,41.0344939,ROOFTOP,31776.44531,3.627448095
SDC Manhattan,375 Pearl St,-74.0014202,40.7109599,ROOFTOP,31776.44531,3.627448095
TELEHOUSE New York Teleport,7 Teleport Drive,-74.1753897,40.6067753,ROOFTOP,31776.44531,3.627448095
DataBank LGA1 - Downtown New York City,60 Hudson St,-74.0083059,40.717729,ROOFTOP,31776.44531,3.627448095
TELEHOUSE New York Chelsea,85 10th Avenue,-74.0079322,40.7433097,ROOFTOP,31776.44531,3.627448095
Hudson InterXchange,60 Hudson Street,-74.0083059,40.717729,ROOFTOP,31776.44531,3.627448095
CoreSite Secaucus (NY2),2 Emerson Ln,-74.064668,40.78342978,GoogleMap,31776.44531,3.627448095
365 Data Centers - New York 2,325 Hudson St,-74.0077026,40.7268681,ROOFTOP,31776.44531,3.627448095
H5 Data Centers New York,325 Hudson St,-74.0077026,40.7268681,ROOFTOP,31776.44531,3.627448095
111 Eight Avenue,111 8th Avenue,-74.007212,40.6377586,GEOMETRIC_CENTER,31776.44531,3.627448095
CoreSite New York (NY1),32 Avenue of the Americas,-74.0048945,40.7201168,ROOFTOP,31776.44531,3.627448095
DataBank LGA2 - Downtown New York City,111 8th Ave,-74.007212,40.6377586,GEOMETRIC_CENTER,31776.44531,3.627448095
Cogent Data Center - New York,25 Broadway,-74.01362043,40.70570305,GoogleMap,31776.44531,3.627448095
365 Data Centers - New York 1,65 Broadway,-74.01242203,40.70714633,GoogleMap,31776.44531,3.627448095
365 Data Centers - New York 3,121 Varick St.,-74.0061994,40.7248833,ROOFTOP,31776.44531,3.627448095
Epsilon Global Hubs - New York,60 Hudson Street,-74.0083059,40.717729,ROOFTOP,31776.44531,3.627448095
Dataverge NY,882 3rd Ave,-73.96941338,40.75798803,GoogleMap,31776.44531,3.627448095
ColoHouse New York,1 Ramland Road,-73.9757345,41.0344939,ROOFTOP,31776.44531,3.627448095
Opti9 NY1,501 Franklin Ave,-73.8247337,40.7554976,GEOMETRIC_CENTER,31776.44531,3.627448095
DataBank LGA3 - Orangeburg,2000 Corporate Dr,-80.088773,40.609609,ROOFTOP,31776.44531,3.627448095
325 Hudson,325 Hudson,-74.0078299,40.7267279,APPROXIMATE,31776.44531,3.627448095
CherryRoad NYC3,375 Pearl Street,-74.0014202,40.7109599,ROOFTOP,31776.44531,3.627448095
Evocative JFK2,480 N Bedford Rd,-73.7534289,41.1803414,ROOFTOP,31776.44531,3.627448095
365 Data Centers - New York 4,32 6th ave,-74.0048945,40.7201168,ROOFTOP,31776.44531,3.627448095
Lunavi Orangeburg,1 Ramland Rd,-73.9757345,41.0344939,ROOFTOP,31776.44531,3.627448095
Equinix NY9,111 8th Avenue,-74.007212,40.6377586,GEOMETRIC_CENTER,31776.44531,3.627448095
Centersquare - New York EWR3-B,365 S Randolphville,-74.4596803,40.5526399,ROOFTOP,31776.44531,3.627448095
The Starrett-Lehigh Building,601 W 26th Street,-74.0071579,40.7516571,ROOFTOP,31776.44531,3.627448095
Frontline Data Services Orangeburg,100 Dutch Hill Rd,-76.9542612,42.0289501,RANGE_INTERPOLATED,31776.44531,3.627448095
Lumen New York 2,601 W 26th,-74.00685192,40.75145649,GoogleMap,31776.44531,3.627448095
Crown Castle New York (NY1),111 8th Ave,-74.007212,40.6377586,GEOMETRIC_CENTER,31776.44531,3.627448095
Colocation America NYDC1,60 Hudson Street,-74.0083059,40.717729,ROOFTOP,31776.44531,3.627448095
Colocation America NYDC3,11 Skyline Dr,-73.81526474,41.08836996,GoogleMap,31776.44531,3.627448095
Colocation America NYDC2,111 8th Avenue,-74.007212,40.6377586,GEOMETRIC_CENTER,31776.44531,3.627448095
EXA DC New York,60 Hudson Street,-74.0083059,40.717729,ROOFTOP,31776.44531,3.627448095
Lumen New York 1,111 8th Avenue,-74.007212,40.6377586,GEOMETRIC_CENTER,31776.44531,3.627448095
LG Networks NYC Node,150 Varick Street,-74.0055247,40.7260463,ROOFTOP,31776.44531,3.627448095
121 Varick St,121 Varick St,-74.0061994,40.7248833,ROOFTOP,31776.44531,3.627448095
New Bridge,927 McDonald Ave,-73.97681429,40.63145197,GoogleMap,31776.44531,3.627448095
