Data_center,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,power_usage_2023_kwh,power_usage_per_hour_2023_kwh
ColoCrossing LA1,530 W. 6th Street,-97.7567249,30.272586,GEOMETRIC_CENTER,33566.97482,3.831846441
Telecom Center LA,530 West 6th Street,-97.7567249,30.272586,GEOMETRIC_CENTER,33566.97482,3.831846441
WebNX LAX,530 West 6th Street,-97.7567249,30.272586,GEOMETRIC_CENTER,33566.97482,3.831846441
ColoCrossing LA1,530 W. 6th Street,-97.7567249,30.272586,GEOMETRIC_CENTER,33566.97482,3.831846441
Telecom Center LA,530 West 6th Street,-97.7567249,30.272586,GEOMETRIC_CENTER,33566.97482,3.831846441
WebNX LAX,530 West 6th Street,-97.7567249,30.272586,GEOMETRIC_CENTER,33566.97482,3.831846441
1100 Space Park Dr (SJC10),1100 Space Park Drive,-95.1032381,29.5460661,ROOFTOP,33566.97482,3.831846441
Colovore SJC01,1101 Space Park Dr,-95.1031221,29.5467121,RANGE_INTERPOLATED,33566.97482,3.831846441
Stream DC San Antonio II - Westover Hills,9550 Westover Hills Blvd,-98.6715761,29.4717406,ROOFTOP,78464.60072,8.957146201
Stream DC San Antonio III,11203 W Military Drive,-98.7147697,29.4483984,ROOFTOP,78464.60072,8.957146201
CyrusOne SAT1 - San Antonio,9999 Westover Hills Blvd,-98.6881185,29.4665583,ROOFTOP,78464.60072,8.957146201
CyrusOne SAT2 - San Antonio,9554 Westover Hills Blvd,-98.6729514,29.4709312,ROOFTOP,78464.60072,8.957146201
CyrusOne SAT5 - San Antonio,14719 Omicron Dr.,-98.7876189,29.4189881,ROOFTOP,78464.60072,8.957146201
H5 Data Centers San Antonio,100 Taylor St.,-98.4867924,29.42936223,GoogleMap,78464.60072,8.957146201
Amazon AWS SAT - 7400 Potranco,7400 Potranco Rd,-98.638548,29.450861,ROOFTOP,78464.60072,8.957146201
