Data_center,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,power_usage_2023_kwh,power_usage_per_hour_2023_kwh
Astound Mountain View DC,1555 Plymouth St,-70.9408209,41.9916035,GEOMETRIC_CENTER,33566.97482,3.831846441
Lumen Hayward 1,23965 Connecticut St,-73.087749,41.6032207,APPROXIMATE,33566.97482,3.831846441
Speedcast NY,45 Oser Avenue,-73.2371841,40.8150639,ROOFTOP,31776.44531,3.627448095
365 Data Centers - Long Island,500 Commack Road,-73.2919648,40.8232323,ROOFTOP,31776.44531,3.627448095
NYRK06,500 Commack Road,-73.2919648,40.8232323,ROOFTOP,31776.44531,3.627448095
CNS Colo,131 Hoffman Ln,-73.18478062,40.80603953,GoogleMap,31776.44531,3.627448095
PointVoIP NY3,3385 Veterans Memorial Hwy,-73.1266909,40.7879649,ROOFTOP,31776.44531,3.627448095
Gotham Bus,449 Route 25A,-73.1687321,40.8806631,ROOFTOP,31776.44531,3.627448095
Amazon AWS IAD - 1304 Squire,1304 Squire Ct,-73.087749,41.6032207,APPROXIMATE,71566.85412,8.169732206
Ark Data Centers Green Bay,Fire Ln 11,-70.454294,44.0483947,GEOMETRIC_CENTER,3918.947368,0.447368421
Iron Mountain Data Centers BOS-1,171 Bearfoot Rd.,-71.6398826,42.3404242,ROOFTOP,20830.76471,2.377941176
Centersquare Watertown,486 Arsenal Way,-71.1597259,42.3650015,ROOFTOP,20830.76471,2.377941176
105 Cabot Street (BOS16),105 Cabot Street,-70.8803286,42.5452096,ROOFTOP,20830.76471,2.377941176
55 Middlesex Turnpike (BOS13),55 Middlesex Turnpike,-71.237149,42.5127344,ROOFTOP,20830.76471,2.377941176
CoreSite Boston (BO1),70 Innerbelt Road,-71.0798616,42.3765027,ROOFTOP,20830.76471,2.377941176
TierPoint Boston-Andover,15 Shattuck Road,-71.208616,42.685698,ROOFTOP,20830.76471,2.377941176
Evocative BOS1,50 Inner Belt Road,-71.0803289,42.3779712,ROOFTOP,20830.76471,2.377941176
EdgeConneX Boston - EDCBOS01,22 Linnell Circle,-71.2494769,42.5285095,ROOFTOP,20830.76471,2.377941176
One Summer St.,1 Summer Street,-71.0601886,42.3547438,ROOFTOP,20830.76471,2.377941176
FirstLight Somerville,70 Inner Belt Road,-71.0798616,42.3765027,ROOFTOP,20830.76471,2.377941176
FirstLight Rockland,1050 Hingham Street,-70.8983473,42.1662642,ROOFTOP,20830.76471,2.377941176
FirstLight Waltham,265 Winter Street,-71.06142993,42.35590159,GoogleMap,20830.76471,2.377941176
Centersquare - Boston BOS1-A,580 Winter St,-71.06142817,42.35567482,GoogleMap,20830.76471,2.377941176
DataBank BOS1 - Downtown Boston,1 Summer Street,-71.0601886,42.3547438,ROOFTOP,20830.76471,2.377941176
Expedient Data Centers - Boston,1 Cabot Road,-71.0751337,42.4054731,ROOFTOP,20830.76471,2.377941176
Equinix BO2,41 Alexander Road,-71.06906789,42.31633171,GoogleMap,20830.76471,2.377941176
Centersquare - Boston BOS1-B,115 2nd Ave,-71.05755934,42.37354263,GoogleMap,20830.76471,2.377941176
Markley Lowell,1 Markley Way,-71.30432998,42.63039802,GoogleMap,20830.76471,2.377941176
Equinix BO1,74 West Street,-71.11923671,42.259483,GoogleMap,20830.76471,2.377941176
Crown Castle Boston,56 Roland St,-71.08010502,42.38127076,GoogleMap,20830.76471,2.377941176
Centersquare - Boston BOS1-C,600 Winter Street,-71.0614255,42.35588731,GoogleMap,20830.76471,2.377941176
