Data_center,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,power_usage_2023_kwh,power_usage_per_hour_2023_kwh
Amazon AWS PDX - Lewis East Campus,75282-75300 Lewis and Clark Dr,-119.6270273,45.8499182,RANGE_INTERPOLATED,58840.94495,6.717002849
Amazon AWS PDX - Bombing Campus,77860-77866 Bombing Range Rd,-119.6274082,45.82053187,GoogleMap,58840.94495,6.717002849
Amazon AWS PDX - Rippee Campus,79536-79553 Rippee Rd,-119.6542705,45.8410773,ROOFTOP,58840.94495,6.717002849
Amazon AWS PDX - Olson Campus,79386-79392 Olson Rd,-119.6940698,45.83625207,GoogleMap,58840.94495,6.717002849
Amazon AWS PDX - Gar Swanson Campus,75242-75254 Gar Swanson Dr,-119.6087101,45.8597537,ROOFTOP,58840.94495,6.717002849
Amazon AWS PDX - Lewis West Campus,73575-73579 Lewis and Clark Dr,-119.6305426,45.8507306,ROOFTOP,58840.94495,6.717002849
Amazon AWS PDX - 79541 Rippee,79541 Rippee Rd,-119.6544849,45.8415637,RANGE_INTERPOLATED,58840.94495,6.717002849
Amazon AWS PDX - 79536 Rippee,79536 Rippee Rd,-119.6542705,45.8410773,ROOFTOP,58840.94495,6.717002849
Amazon AWS PDX - 75294 Lewis,75294 Lewis and Clark Dr,-119.6060266,45.846937,ROOFTOP,58840.94495,6.717002849
Amazon AWS PDX - 79392 Olson,79392 Olson Rd,-119.6940698,45.83625207,GoogleMap,58840.94495,6.717002849
Amazon AWS PDX - Bombing D,TBD Bombing Range Rd,-119.6232559,45.69590732,GoogleMap,58840.94495,6.717002849
Amazon AWS PDX - Bombing C,TBD Bombing Range Rd,-119.6232559,45.69590732,GoogleMap,58840.94495,6.717002849
Amazon AWS PDX - 77866 Bombing,77866 Bombing Range Rd,-119.6233589,45.81070567,GoogleMap,58840.94495,6.717002849
Amazon AWS PDX - 79388 Olson,79388 Olson Rd,-119.6897787,45.83662491,GoogleMap,58840.94495,6.717002849
Amazon AWS PDX - 75300 Lewis,75300 Lewis and Clark Dr,-119.6038162,45.8469518,ROOFTOP,58840.94495,6.717002849
Amazon AWS PDX - 75288 Lewis,75288 Lewis and Clark Dr,-119.6085788,45.8497264,ROOFTOP,58840.94495,6.717002849
Amazon AWS PDX - 73579 Lewis,73579 Lewis and Clark Dr,-119.6305414,45.85085885,GoogleMap,58840.94495,6.717002849
