Data_center,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,power_usage_2023_kwh,power_usage_per_hour_2023_kwh
Data Holdings Milwaukee,3135 W Highland Ave,-112.1246863,33.5051864,RANGE_INTERPOLATED,3918.947368,0.447368421
Iron Mountain Data Centers AZS-1,8521 E. Princess Drive,-111.8957976,33.6445574,ROOFTOP,77200.83951,8.812881222
Iron Mountain Data Centers AZP-2,4802 East Van Buren Street,-111.97771,33.4520199,ROOFTOP,77200.83951,8.812881222
2121 S. Price Road (PHX15),2121 S. Price Road,-111.8881214,33.274703,ROOFTOP,77200.83951,8.812881222
120 East Van Buren St (PHX10),120 East Van Buren Street,-112.0719012,33.4519088,ROOFTOP,77200.83951,8.812881222
"Stream DC Phoenix I - VI , Goodyear Campus",2950 S. Litchfield Road,-112.360011,33.419655,ROOFTOP,77200.83951,8.812881222
Centersquare PHX2-A,2055 E Technology Cir,-111.8992421,33.3446504,ROOFTOP,77200.83951,8.812881222
Flexential Phoenix - Deer Valley Data Center,1850 W. Deer Valley Rd,-112.0981242,33.6846458,ROOFTOP,77200.83951,8.812881222
Iron Mountain Data Centers AZP-3,85008,-112.0118669,33.4660406,APPROXIMATE,77200.83951,8.812881222
H5 Data Centers Phoenix,2600 W. Germann Rd.,-111.8856914,33.2770662,ROOFTOP,77200.83951,8.812881222
CyrusOne Phoenix Campus,2335 South Ellis St,-111.8832998,33.2709636,ROOFTOP,77200.83951,8.812881222
NTT Phoenix PH1,10302 E. Elliot Road,-111.6122227,33.3499967,ROOFTOP,77200.83951,8.812881222
EdgeConneX Phoenix - EDCPHX01,3011 S. 52nd St,-111.9701049,33.3955209,ROOFTOP,77200.83951,8.812881222
Prime Phoenix Data Center Campus,11753 W Lower Buckeye Rd,-112.312169,33.4171171,GEOMETRIC_CENTER,77200.83951,8.812881222
LightEdge - Phoenix,120 East Van Buren,-112.0719012,33.4519088,ROOFTOP,77200.83951,8.812881222
Evocative PHX1,2500 W Union Hills Drive,-112.1106061,33.6588811,ROOFTOP,77200.83951,8.812881222
Phoenix Campus,2500 West Union Hills,-112.1106061,33.6588811,ROOFTOP,77200.83951,8.812881222
LexisNexis Scottsdale,8521 E Princess Dr,-111.8957976,33.6445574,ROOFTOP,77200.83951,8.812881222
DataBank PHX1 - Downtown Phoenix,3110 N Central St,-112.0751021,33.4837957,GoogleMap,77200.83951,8.812881222
CyrusOne PHX1 - Chandler,2335 South Ellis St.,-111.8832998,33.2709636,ROOFTOP,77200.83951,8.812881222
CyrusOne PHX3 - Chandler,2305 South Ellis St.,-111.8824683,33.2719563,ROOFTOP,77200.83951,8.812881222
CyrusOne PHX4 - Chandler,2495 South Ellis St.,-111.8825171,33.26877043,GoogleMap,77200.83951,8.812881222
CyrusOne PHX5 - Chandler,2405 South Ellis St.,-111.8815608,33.2697453,ROOFTOP,77200.83951,8.812881222
CyrusOne PHX2 - Chandler,2305 South Ellis St.,-111.8824683,33.2719563,ROOFTOP,77200.83951,8.812881222
CyrusOne PHX6 - Chandler,2605 South Ellis St.,-111.8827558,33.2676243,ROOFTOP,77200.83951,8.812881222
11:11 Systems Scottsdale,7499 E Paradise Ln,-111.9177946,33.6324227,ROOFTOP,77200.83951,8.812881222
Cogent Data Center - Phoenix,3410 E. University Drive,-112.008425,33.41681901,GoogleMap,77200.83951,8.812881222
PhoenixNAP,3402 E. University Dr.,-111.7588978,33.4230658,RANGE_INTERPOLATED,77200.83951,8.812881222
CyrusOne PHX7 - Chandler,2705 South Ellis St.,-111.8843719,33.2665243,ROOFTOP,77200.83951,8.812881222
Edged Phoenix,8747 E Warner Rd,-111.9729477,33.3342999,RANGE_INTERPOLATED,77200.83951,8.812881222
EdgeCore Phoenix Campus,3856 S Everton Terrace,-111.6198861,33.345396,ROOFTOP,77200.83951,8.812881222
Vantage AZ1 - Phoenix,45 S Bullard Ave,-112.374484,33.4463854,ROOFTOP,77200.83951,8.812881222
Comarch Mesa,3223 S Ellsworth Rd,-111.6352485,33.3567155,ROOFTOP,77200.83951,8.812881222
Cogent Data Center - Phoenix 2,1530 E Roeser Rd,-112.0479412,33.4002292,ROOFTOP,77200.83951,8.812881222
CyrusOne PHX8 - Chandler,2705 South Ellis St.,-111.8843719,33.2665243,ROOFTOP,77200.83951,8.812881222
Expedient Phoenix,2475 W Townley Ave,-112.1120733,33.5644771,ROOFTOP,77200.83951,8.812881222
Microsoft Goodyear (PHX10),W Broadway Rd & S Bullard Ave,-112.3751283,33.406517,GEOMETRIC_CENTER,77200.83951,8.812881222
Microsoft Goodyear (PHX70),3785 N Citrus Rd,-112.4402688,33.490032,ROOFTOP,77200.83951,8.812881222
Liquid Web Phoenix,7025 N Scottsdale Rd,-111.9247362,33.540714,ROOFTOP,77200.83951,8.812881222
Apple Mesa Data Center,3740 S Signal Butte Road,-111.6041757,33.3470237,ROOFTOP,77200.83951,8.812881222
Windstream Phoenix,1710 E Grant St,-112.0440043,33.44198394,GoogleMap,77200.83951,8.812881222
Microsoft El Mirage,12901 W Olive Ave,-112.3377944,33.56529093,GoogleMap,77200.83951,8.812881222
QTS Glendale,4001 N 159th Ave,-112.4005666,33.4652518,RANGE_INTERPOLATED,77200.83951,8.812881222
QTS Phoenix Campus,1200 40th Street,-111.9958014,33.46236399,GoogleMap,77200.83951,8.812881222
Project Range,W Lower Buckeye Rd,-112.2220587,33.4229134,GEOMETRIC_CENTER,77200.83951,8.812881222
Meta Mesa Data Center,3841 S Ellsworth Rd,-111.6311729,33.34125,ROOFTOP,77200.83951,8.812881222
Compass PHX II Campus,W Peoria Ave & N El Mirage Rd,-112.3245043,33.5799739,GEOMETRIC_CENTER,77200.83951,8.812881222
Compass PHX II - Building 2,W Peoria Ave & N El Mirage Rd,-112.3245043,33.5799739,GEOMETRIC_CENTER,77200.83951,8.812881222
Compass PHX II - Building 1,W Peoria Ave & N El Mirage Rd,-112.3245043,33.5799739,GEOMETRIC_CENTER,77200.83951,8.812881222
Compass PHX II - Building 3,W Peoria Ave & N El Mirage Rd,-112.3245043,33.5799739,GEOMETRIC_CENTER,77200.83951,8.812881222
CyberTrails,1919 w Lone Cactus Dr,-112.1010331,33.6797129,ROOFTOP,77200.83951,8.812881222
ColoHouse Phoenix,2335 South Ellis Street,-111.8832998,33.2709636,ROOFTOP,77200.83951,8.812881222
QTS Phoenix-Van Buren,120 East Van Buren Street,-112.0719012,33.4519088,ROOFTOP,77200.83951,8.812881222
Google Mesa Campus,E Elliot Rd & S Sossaman Rd,-111.6706044,33.3504293,GEOMETRIC_CENTER,77200.83951,8.812881222
Google Mesa - Phase 3,E Elliot Rd & S Sossaman Rd,-111.6706044,33.3504293,GEOMETRIC_CENTER,77200.83951,8.812881222
Lumen Phoenix 2,17 E. Virginia Ave,-112.0730205,33.4763397,ROOFTOP,77200.83951,8.812881222
Google Mesa - Phase 2,E Elliot Rd & S Sossaman Rd,-111.6706044,33.3504293,GEOMETRIC_CENTER,77200.83951,8.812881222
Google Mesa - Phase 1,E Elliot Rd & S Sossaman Rd,-111.6706044,33.3504293,GEOMETRIC_CENTER,77200.83951,8.812881222
Lumen Phoenix 4,3220 N 3rd St,-112.0698349,33.5581215,GEOMETRIC_CENTER,77200.83951,8.812881222
"OneNeck IT Solutions, A TDS Company",2710 S Roosevelt St,-111.9483832,33.3997925,ROOFTOP,77200.83951,8.812881222
Hostrunway Data Center,900 N Alameda St #200,-118.2353984,34.0581105,ROOFTOP,33566.97482,3.831846441
ClearData,4250 E. Camelback Rd.,-111.9891172,33.5113563,ROOFTOP,77200.83951,8.812881222
Phoenix Internet,"2922 W Clarendon Ave, Phoenix",-112.122203,33.49262,ROOFTOP,77200.83951,8.812881222
Flexential Denver - Aurora Data Center,11900 Cornell Avenue,-111.7238163,33.3664213,GEOMETRIC_CENTER,27448,3.1333333
