Data_center,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,power_usage_2023_kwh,power_usage_per_hour_2023_kwh
NTT Silicon Valley SV1,1160 Walsh Avenue,-79.5345974,43.7161444,GEOMETRIC_CENTER,33566.97482,3.831846441
Synoptek - Rochester / Pittsford,1100 Pittsford Victor Rd,-77.4665223,43.0493092,ROOFTOP,31776.44531,3.627448095
Lumen Rochester 1,1 W Main St,-77.61281102,43.15535469,GoogleMap,31776.44531,3.627448095
Lumen Gates,150 Mile Crossing Blvd,-77.7301508,43.1501741,ROOFTOP,31776.44531,3.627448095
I-Evolve Data Center,501 John James Audubon Parkway,-78.784522,43.0180003,ROOFTOP,31776.44531,3.627448095
Lumen Syracuse 1,2 N Clinton St,-76.15273689,43.05011491,GoogleMap,31776.44531,3.627448095
Lumen East Syracuse,6007 Fair Lakes Rd,-76.0704296,43.0932526,ROOFTOP,31776.44531,3.627448095
Syracuse Data Center,109 South Warren Street,-76.1503483,43.0502209,ROOFTOP,31776.44531,3.627448095
Northland Syracuse Datacenter,500 South Salina Street,-76.1523801,43.0438168,ROOFTOP,31776.44531,3.627448095
NaviSite Syracuse,125 Elwood Davis Road,-76.1741845,43.0949601,ROOFTOP,31776.44531,3.627448095
Watertown Data Center,130 Park Place,-75.91353992,43.9747448,GoogleMap,31776.44531,3.627448095
Northland Utica Datacenter,"258 Genesee Street, Utica",-75.235294,43.0998042,ROOFTOP,31776.44531,3.627448095
SS&C GlobeOp Data Center,1565 Front Street,-79.4010707,43.6407362,RANGE_INTERPOLATED,31776.44531,3.627448095
Synergy Data Center&Services,1650 Dewey Ave,-77.6392564,43.1982365,ROOFTOP,58840.94495,6.717002849
DSC,743 Church Street,-79.3864615,43.6726473,RANGE_INTERPOLATED,73516.55952,8.392301316
Loop Internet DC2,46 E Liberty St,-79.4151302,43.6384301,GEOMETRIC_CENTER,65574.85714,7.485714286
CoreSite Secaucus (NY3),2 Emerson Lane,-79.7126954,43.6008185,GEOMETRIC_CENTER,60274.02985,6.880597015
247Rack Secaucus NY2,2 Emerson Ln,-79.7126954,43.6008185,GEOMETRIC_CENTER,60274.02985,6.880597015
CyrusOne CIN5 - Lebanon,401 Kingsview Drive,-79.7452753,43.8899917,RANGE_INTERPOLATED,15153.11538,1.729807692
GTT Greensboro Data Center,414 N. Church Street,-79.3792987,43.6609806,ROOFTOP,43814.36066,5.001639344
Citynet Bridgeport,100 Platinum Dr,-79.7288637,43.5359434,GEOMETRIC_CENTER,99280,11.3333333
Cogent Data Center - Nashville,338 Woodycrest Ave,-79.3451776,43.6879675,RANGE_INTERPOLATED,28850.86957,3.293478261
Colocation America HartfordDC1,108 Bank Street,-75.7005025,45.4200097,ROOFTOP,4380,0.5
TierPoint Waterbury,108 Bank Street,-75.7005025,45.4200097,ROOFTOP,4380,0.5
Google Jackson County Data Center,48809 Al Highway 277,-85.74493537,34.92039355,GoogleMap,99280,11.3333333
3 Corporate Place (EWR11),3 Corporate Place,152.9726691,-26.8065292,ROOFTOP,60274.02985,6.880597015
Centersquare - New York EWR3-A,3 Corporate Pl,152.9726691,-26.8065292,ROOFTOP,60274.02985,6.880597015
"365 Data Centers - Bridgewater, NJ",999 Frontier Rd,150.8524368,-33.9567073,GEOMETRIC_CENTER,60274.02985,6.880597015
Amnet Technology Solutions,26 Fahey St,-52.7530985,47.5095026,ROOFTOP,4380,0.5
